SiteName,WebAccessUsername,WebAccessPassword,Developer Access Root Location,Development Username,Development Password,Template
SiteA,SiteAAccess,SiteAq45QNO,,SiteADeveloper,SiteAq45QNOvP0ewi,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteB,SiteBAccess,SiteBkM92ea,,SiteBDeveloper,SiteBkM92eaxnVCpL,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
SiteC,SiteCAccess,SiteCeL6a9y,,SiteCDeveloper,SiteCeL6a9yoQXLHS,https://github.com/BlackrockDigital/startbootstrap-modern-business/archive/v1.0.5.zip
SiteD,SiteDAccess,SiteD8tn7jj,,SiteDDeveloper,SiteD8tn7jjrUjemj,https://github.com/BlackrockDigital/startbootstrap-sb-admin-2/archive/v1.0.8.zip
SiteE,SiteEAccess,SiteEBujtA8,,SiteEDeveloper,SiteEBujtA8qVeIXA,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteF,SiteFAccess,SiteFL6E34o,,SiteFDeveloper,SiteFL6E34oQpE5sT,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
SiteG,SiteGAccess,SiteG0HekRN,,SiteGDeveloper,SiteG0HekRNonKlSA,https://github.com/BlackrockDigital/startbootstrap-modern-business/archive/v1.0.5.zip
SiteH,SiteHAccess,SiteHU86PsB,,SiteHDeveloper,SiteHU86PsBC3bEwr,https://github.com/BlackrockDigital/startbootstrap-sb-admin-2/archive/v1.0.8.zip
SiteI,SiteIAccess,SiteIwbLeso,,SiteIDeveloper,SiteIwbLesor4ry2j,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteJ,SiteJAccess,SiteJ0rQzxg,,SiteJDeveloper,SiteJ0rQzxgaUunn4,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
SiteK,SiteKAccess,SiteKEPyjVG,,SiteKDeveloper,SiteKEPyjVGyKaiyk,https://github.com/BlackrockDigital/startbootstrap-modern-business/archive/v1.0.5.zip
SiteL,SiteLAccess,SiteL1eRr9M,,SiteLDeveloper,SiteL1eRr9MhNFNLB,https://github.com/BlackrockDigital/startbootstrap-sb-admin-2/archive/v1.0.8.zip
SiteM,SiteMAccess,SiteMf6iXBx,,SiteMDeveloper,SiteMf6iXBxqpSooi,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteN,SiteNAccess,SiteNpIHmRT,,SiteNDeveloper,SiteNpIHmRTH8wVAE,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
SiteO,SiteOAccess,SiteOEi13wg,,SiteODeveloper,SiteOEi13wgqVxf5b,https://github.com/BlackrockDigital/startbootstrap-modern-business/archive/v1.0.5.zip
SiteP,SitePAccess,SiteP0efe9P,,SitePDeveloper,SiteP0efe9PGnTTly,https://github.com/BlackrockDigital/startbootstrap-sb-admin-2/archive/v1.0.8.zip
SiteQ,SiteQAccess,SiteQ0nw1mc,,SiteQDeveloper,SiteQ0nw1mcXCftL9,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteR,SiteRAccess,SiteRIWg7LE,,SiteRDeveloper,SiteRIWg7LEPp7GhL,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
SiteS,SiteSAccess,SiteSBzgIGj,,SiteSDeveloper,SiteSBzgIGj37opP1,https://github.com/BlackrockDigital/startbootstrap-modern-business/archive/v1.0.5.zip
SiteT,SiteTAccess,SiteT95N6JU,,SiteTDeveloper,SiteT95N6JUogOAVf,https://github.com/BlackrockDigital/startbootstrap-sb-admin-2/archive/v1.0.8.zip
SiteU,SiteUAccess,SiteUbvW4j5,,SiteUDeveloper,SiteUbvW4j5n0rxBu,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteV,SiteVAccess,SiteVYE0oyV,,SiteVDeveloper,SiteVYE0oyVmDlKpx,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
SiteW,SiteWAccess,SiteWJfJuiN,,SiteWDeveloper,SiteWJfJuiNyyM8lg,https://github.com/BlackrockDigital/startbootstrap-modern-business/archive/v1.0.5.zip
SiteX,SiteXAccess,SiteXml1gSr,,SiteXDeveloper,SiteXml1gSr563qc4,https://github.com/BlackrockDigital/startbootstrap-sb-admin-2/archive/v1.0.8.zip
SiteY,SiteYAccess,SiteYZQCkw5,,SiteYDeveloper,SiteYZQCkw5ab5Ipx,https://github.com/BlackrockDigital/startbootstrap-creative/archive/v1.1.0.zip
SiteZ,SiteZAccess,SiteZCynk7K,,SiteZDeveloper,SiteZCynk7KYhgMd4,https://github.com/BlackrockDigital/startbootstrap-agency/archive/v1.1.0.zip
